links,post_content,post_title
https://scribing.shop/2021/10/12/acc-410-government-and-not-for-profit-accounting-balance-sheet/,Cash and Cash Equivalents and the Statement of Cash Flows Bedford Corp. began the year with $15000 in cash and another $8500 in cash equivalents. During the year operations generated $140000 in cash. Net cash used in investing activities during the year was $210000 and the company raised a net amount of $180000 from financing activities. Required: Determine the year-end balance in cash and cash equivalents.  Cash Equivalents Metropolis Industries invested its excess cash in the following instruments during December 2017: Certificate of deposit due January 31 2018 $35000 Certificate of deposit due June 30 2018 95000 Investment in City of Elm bonds due May 1 2019 15000 Investment in Quantum Data stock 66000 Money market fund 105000 90-day Treasury bills 75000 Treasury note due December 1 2018 200000  Required: Determine the amount of cash equivalents that should be combined with cash on the company's balance sheet at December 31 2017 and for purposes of preparing a statement of cash flows for the year ended December 31 2017. Important instructions: These exercises are from this book Using Financial Accounting Information: The Alternative to Debits and Credits 10th Edition.    Read less,ACC 410 Government and Not for Profit Accounting: Balance Sheet
https://scribing.shop/2021/10/12/leg500-business-lawprofessor/,Discuss the following: What are the requirements for a valid contract? Per the Chapter reading explain how legally a contract is formed the elements required and the differences pursuant to common law versus the Uniform Commercial Code. Why is it important to distinguish and identify which applies in business? Using the NEXIS-Uni Legal Research Database find and provide one breach of contract case example from your home state in the past 5 years. Be sure to explain the facts of the case the parties to the lawsuit the dispute and the outcome and remedies provided by the court. Provide whether you agreed with the court or not. Nexis-Uni link: Please be sure answers are researched informed and substantiated by citing sources in the text of your discussion answer and then at the bottom of your discussion post following Strayer Writing Standards. NO CREDIT is awarded for failure to follow this requirement. See the Strayer Writing Standards link in BB and the professor example below.    Read less,LEG500 Business Law|Professor
https://scribing.shop/2021/10/12/bsbled801-leadership-management-innovation-theories/,    Read less,BSBLED801 Leadership Management: Innovation Theories
https://scribing.shop/2021/10/13/bm6208-buyer-behaviour-marketing-communications/,You are required to design and evaluate a marketing communications strategy for the firm/company that you chose for assessment two. 1. Introduction (purpose of the report and company overview) 2 parts: 1. Purpose of the report  sentence should start with the yellow highlighted from above. 2. Company overview  clear description of the company. 2. Discuss the new segment profile targeting strategy and the positioning strategy (from assessment two)-Check their website Facebook etc. what kind of people they are engaging -It has to be specific -How is the company going to position new segments? 3. Prepare a positioning statement (4 marks) -check slide #43 from the attached PowerPoint -should follow the statements in the slide 4. Identify and explain two internal and two external factors that might influence the decision-making process of the target market (target market that was identified in assessment two    Read less,BM6208 Buyer Behaviour| Marketing Communications
https://scribing.shop/2021/10/13/bma547-organisational-behaviour-and-corporate-corruption/,Description Examples of the use of power are readily found in the media ranging from corporate corruption to whistleblowing through to incidents of exploitation sexual harassment and bullying. Assessment requires you to choose and research an example of the use of power in an organisation and critically analyse it within the context of relevant organisational behaviour theory. Choose an organisational example of power such as one of the examples provided above.ù This example should be one that is known about and easy to research with access to information through the media and academic sources. Using a theory of Leadership theoryù critically analyse what happened in your example. The critical analysis should take place within the context of your chosen theory. Please consider each weekly topic as an OB theory i.e. Leadership theory; Organisational politics theory; or Organisational culture theory (Choose Leadership theory only) Within the context of Leadership theory in week 10 develop an argument as to what needs to change in the organisation to ensure that what occurred in your example does not happen again. A typical example of your report title could be òDysfunctional leadership and corporate corruption in company XYZ'.    Read less,BMA547 Organisational Behaviour and Corporate Corruption
https://scribing.shop/2021/10/12/nur534-primary-health-care/,You are required to write a 1500-word critical reflection in your nursing practice and your role in the delivery of primary health care Task Instructions Select ONE (1) of the following readings The following components should be included in your critical reflective essay: Describe what you learn from your selected article Discuss your role in primary health care after becoming a registered nurse Consider using the following suggested structure to write your reflective essay Introduction: provide background/context of reflection summarise the key messages from your selected reading Body describe the key learning outcomes of the reading discuss your past position/thinking discuss what you learn/change discuss your current/new position/thinking Conclusion Summarize learning Discuss significance of learning for self and others Discuss future actions/behaviour    Read less,NUR534 Primary Health Care
https://scribing.shop/2021/10/12/busm2018-food-and-beverage-management/,Assessment 2: Report Overview The core goals of the report are: 1. To develop a theme based around one product that can be marketed as a commercially viable operation. 2. To provide an in-depth caf© or restaurant concept sample menu operations marketing and financial strategy for this theme as a commercial food and beverage operation. 3. To exhibit a point of difference and a degree of originality in the development of the concept. The purpose of this operation is to showcase an Australian primary food product at the farm gate. The target market is  small bus tours (20 people per bus) composed of domestic and international visitors.  independent tourists travelling via car and  locals. House wine (carafe) only (red & white)  Themed merchandise Note: Profit margin assumption: Cost of goods sold (COGS) 30% Labour 30% Overheads 30%. 9 Details The project involves preparing a written report that details a concept plan for the development of a ùFarm-toTableù foodservice operation. Each group will select a theme food that they can use to shape their operation around. For example it could be a food such as macadamia nuts a fish farm producing barramundi or an oyster farm. It cannot however be a vineyard producing wine. This operation must showcase the product and all the uses of the product  fresh preserved as a medicine as a beauty treatment and so on. The operation must also reflect the location the needs of the producer to market their produce and present as part of a unified 'experience'. Your operation must exhibit a point of difference.     Read less,BUSM2018 Food and Beverage Management
https://scribing.shop/2021/10/12/nhsfpx4000-developing-a-health-care-perspective/,State the PROBLEM or the situation you are trying to investigate within your WORKPLACE BOROUGH or COMMUNITY in 2-3 sentences. Explain the reasons why this problem or the situation is important. This may show its severity (adverse consequences) on people (users) staff and the workplace or community as a whole. Compare the status of the workplace or community problem to those of other similar workplaces or communities city level England UK or Global. Brief and focused literature review on the problem (and its consequences) Describe how your proposed change and anticipated lead role relate to your area of study.    Read less,NHSFPX4000 Developing a Health Care Perspective
https://scribing.shop/2021/10/13/caa209-evidence-based-research-methods-and-implementation/,Students will be expected to complete a research proposal directly related to their topic of interest as identified in Assessment Task 1. Your task is to use all of the core learning throughout this course and to formulate them into your research proposal. Purpose: To develop skills in preparing a research proposal that involves thought about all aspects of the project design and implementation.  Description: Using the topic that was chosen in the first assessment task (literature review) students will need to create a proposed research project and complete all the sections of the research proposal as outlined below. The Research Proposal should include the following sections/ information: 1.Introduction or Background: 1-2 paragraphs that gives a brief description of the context of the study what is the study about and why? 2.Aim or Purpose: 2-3 succinct sentences that describes what you would like to change or modify or introduce into your health or healthcare related practice? State your aims and research question/s. 3.Project Rationale: 1-2 paragraphs that explains why you chose this topic and how it is of interest to your field of work. Why is it important?  4.Literature review: 2-3 paragraphs that gives a brief summary of the literature (from assessment task 1). Include key references that you anticipate will inform your project. Don't forget to critically evaluate this work. 5.Methodology: 3-5 paragraphs that provides information about data and artifacts that you propose to use in the research study. Sections could include the following: What is your population? Who are the participants? What is the context and/or location of the study?  Briefly describe the approach to data collection that you intend to use. Identify the artifacts or evidence you propose to collect to support your project aims. What tools or instruments will you need to develop? (you do not need to develop these just describe them). How will you analyse the data?    Read less,CAA209 Evidence Based Research Methods and Implementation
https://scribing.shop/2021/10/13/data4700-digital-marketing-and-competitive-advantage-2/,Your report should have the following headings and address the topics below: 1. Introduction: A brief summary of the situation in the case study and what you as a consultant have been tasked with doing for your client 2. Data: An indication of:  What data you already have available in this case  What further data you would like to receive from the client  What additional data you will have to collect for your consulting work 3. STP: Your recommendations on:  How to approach segmenting the market  Which segment you wish to target  How to position Matrix Education for that target segment 4. Marketing mix: After you have positioned Matrix Education indicate:  What the product should be (e.g. should it remain as is or do you have suggestions on how to change it to pursue a stronger competitive advantage?)  How you will promote the product to the market (e.g. using your digital assets)  The place that customers should access the product (e.g. digital channels of distribution)  Pricing strategy for the product (e.g. tactics to use; understanding value to the customer)    Read less,DATA4700 Digital Marketing and Competitive Advantage
