Link,UPC Code,table_data 1,table_data 2,table_data 3,table_data 4,table_data 5,table_data 6,table_data 7,table_data 8,table_data 9,table_data 10,table_data 11,table_data 12,table_data 13,table_data 14,table_data 15,table_data 16,table_data 17,table_data 18,table_data 19,table_data 20,table_data 21,table_data 22,table_data 23,table_data 24,table_data 25,table_data 26,table_data 27,table_data 28,table_data 29,table_data 30
https://timken-us.ptplace.com/productDetail/_pn=417016_sc=100129959?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),10 in,Shaft diameter (inch),7.875 in,Type,Oil Seal,Style,41,Design,2M2LS41,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.625 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=417022_sc=100129961?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),10.375 in,Shaft diameter (inch),8.375 in,Type,Oil Seal,Style,41,Design,2M2LS41,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.625 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=417079_sc=100129964?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),3.543 in,Shaft diameter (inch),2.625 in,Type,Oil Seal,Style,41,Design,2M2LS41,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.375 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=417082_sc=100129965?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),4.003 in,Shaft diameter (inch),2.625 in,Type,Oil Seal,Style,41,Design,2M2LS41,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.375 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=417172_sc=100128258?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),4.5 in,Shaft diameter (inch),3.125 in,Type,Oil Seal,Style,41,Design,2M2LS41,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.5 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=455297_sc=100127478?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),7.5 in,Shaft diameter (inch),5.875 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.562 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=455308_sc=100127479?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),3.544 in,Shaft diameter (inch),1.5 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.5 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=455310_sc=100127480?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),4.335 in,Shaft diameter (inch),2.875 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=455322_sc=100127483?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),3.543 in,Shaft diameter (inch),2.75 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.5 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=455336_sc=100127486?reference=PartSearchListLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=455355_sc=100127487?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),3.876 in,Shaft diameter (inch),2.875 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.468 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=455356_sc=100127488?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),4.499 in,Shaft diameter (inch),2.937 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.468 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=455364_sc=100127489?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),3.5 in,Shaft diameter (inch),2.75 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.5 in,,,,,,,,
